243,782
144,678
353,910
214,751
354,911
55,587
247,785
136,670
298,839
299,840
184,719
41,572
110,644
305,847
284,824
125,660
143,677
158,693
276,816
258,798
335,892
312,854
291,831
213,750
54,586
313,855
165,700
22,553
283,823
87,619
265,805
472,866
7,537
88,620
250,789
257,797
434,857
220,757
61,593
349,907
172,707
242,781
221,758
290,830
62,594
94,626
334,891
35,567
14,544
95,627
264,804
36,568
227,764
68,600
316,860
6,536
380,643
249,788
21,552
228,765
69,601
341,898
102,634
202,739
342,899
28,559
475,870
76,608
109,642
441,886
139,673
327,882
272,812
447,902
333,889
131,665
231,770
194,730
246,786
179,714
297,837
279,819
120,655
201,738
356,913
322,875
153,688
271,811
75,607
13,543
43,574
326,881
307,849
286,826
127,662
208,745
49,581
308,850
160,695
230,769
278,818
209,746
50,582
82,614
260,800
2,532
83,615
293,833
215,752
355,912
56,588
237,776
216,753
285,825
57,589
89,621
138,672
186,721
300,841
30,562
238,777
42,573
90,622
31,563
222,759
112,646
1,531
244,783
16,547
223,760
64,596
145,679
336,893
245,784
97,629
197,734
337,894
23,554
252,791
344,901
159,694
350,908
189,725
259,799
63,595
52,585
292,832
115,650
196,733
37,569
397,723
166,701
317,861
266,806
38,570
70,602
167,702
318,862
8,538
251,790
71,603
281,821
203,740
343,900
104,636
173,708
273,813
45,577
174,709
15,545
96,628
78,610
210,747
132,666
310,852
232,771
438,876
133,667
181,716
469,863
103,635
233,772
122,657
85,617
357,914
188,724
29,560
77,609
239,778
218,755
140,674
328,883
240,779
44,575
51,583
114,648
195,731
18,549
147,681
180,715
280,820
121,656
148,682
339,896
154,689
361,920
345,903
302,843
217,754
106,639
155,690
187,722
346,904
287,827
128,663
107,640
309,851
129,664
113,647
92,624
161,696
261,801
331,887
224,761
162,697
146,680
3,533
84,616
294,834
66,598
198,735
338,895
99,631
168,703
58,590
319,872
268,808
301,842
169,704
10,540
320,873
91,623
360,918
253,792
25,556
73,605
32,564
254,793
17,548
65,597
467,766
47,579
98,630
80,612
39,571
352,909
24,555
72,604
267,807
135,669
323,878
9,539
235,774
359,917
454,916
190,726
205,742
274,814
175,710
275,815
116,651
176,711
117,652
150,685
134,668
182,717
234,773
282,822
123,658
204,741
183,718
471,865
105,637
124,659
156,691
416,767
46,578
157,692
329,884
79,611
348,906
241,780
289,829
142,676
211,748
330,885
311,853
314,858
212,749
470,864
372,576
164,699
315,859
5,535
86,618
248,787
149,683
358,915
340,897
101,633
219,756
60,592
141,675
477,871
303,844
93,625
304,845
288,828
108,641
256,795
19,550
262,802
163,698
20,551
4,534
263,803
295,835
53,584
296,836
26,557
473,868
59,591
269,809
347,905
170,705
27,558
11,541
474,869
270,810
33,565
171,706
12,542
255,794
332,888
34,566
225,762
193,729
177,712
226,763
67,599
229,768
277,817
118,653
199,736
178,713
100,632
119,654
151,686
200,737
321,874
152,687
324,879
74,606
236,775
137,671
206,743
185,720
325,880
306,848
126,661
207,744
191,727
48,580
445,890
111,645
192,728
81,613
